match_id,stage,round_label,group,date,kickoff_local_hour,utc_offset,home_team,away_team,venue_city,ht_home,ht_away,ft_home,ft_away,final_home,final_away,went_to_et,went_to_pens,pen_home,pen_away,stadium,country,elevation_m,roof,lat,lon,capacity,is_knockout,total_goals,ninety_min_goals,goal_margin,first_half_goals,second_half_goals,sheltered,shelter_label,highland,kickoff_bucket
59,Group stage,Matchday 17,Group J,2026-06-27,21.0,-5,Algeria,Austria,Kansas City,1,1,3,3,3,3,False,False,,,Arrowhead Stadium,USA,270,open,39.0489,-94.4839,76416,False,6,6,0,2,4,False,Fully open bowl,False,Night (20h+)
60,Group stage,Matchday 17,Group J,2026-06-27,21.0,-5,Jordan,Argentina,Dallas (Arlington),0,2,1,3,1,3,False,False,,,AT&T Stadium,USA,180,retractable,32.7473,-97.0945,80000,False,4,4,2,2,2,True,Sheltered (roof or canopy),False,Night (20h+)
61,Group stage,Matchday 7,Group K,2026-06-17,12.0,-5,Portugal,DR Congo,Houston,1,1,1,1,1,1,False,False,,,NRG Stadium,USA,15,retractable,29.6847,-95.4107,72220,False,2,2,0,2,0,True,Sheltered (roof or canopy),False,Midday (<14h)
62,Group stage,Matchday 7,Group K,2026-06-17,20.0,-6,Uzbekistan,Colombia,Mexico City,0,1,1,3,1,3,False,False,,,Estadio Azteca,Mexico,2240,open,19.3029,-99.1505,87523,False,4,4,2,1,3,False,Fully open bowl,True,Evening (17-20h)
63,Group stage,Matchday 13,Group K,2026-06-23,12.0,-5,Portugal,Uzbekistan,Houston,3,0,5,0,5,0,False,False,,,NRG Stadium,USA,15,retractable,29.6847,-95.4107,72220,False,5,5,5,3,2,True,Sheltered (roof or canopy),False,Midday (<14h)
64,Group stage,Matchday 13,Group K,2026-06-23,20.0,-6,Colombia,DR Congo,Guadalajara (Zapopan),0,0,1,0,1,0,False,False,,,Estadio Akron,Mexico,1566,open,20.6819,-103.4625,49813,False,1,1,1,0,1,False,Fully open bowl,True,Evening (17-20h)
65,Group stage,Matchday 17,Group K,2026-06-27,19.5,-4,Colombia,Portugal,Miami (Miami Gardens),0,0,0,0,0,0,False,False,,,Hard Rock Stadium,USA,2,canopy,25.958,-80.2389,65326,False,0,0,0,0,0,True,Sheltered (roof or canopy),False,Evening (17-20h)
66,Group stage,Matchday 17,Group K,2026-06-27,19.5,-4,DR Congo,Uzbekistan,Atlanta,0,1,3,1,3,1,False,False,,,Mercedes-Benz Stadium,USA,320,retractable,33.7554,-84.4008,71000,False,4,4,2,1,3,True,Sheltered (roof or canopy),False,Evening (17-20h)
67,Group stage,Matchday 7,Group L,2026-06-17,15.0,-5,England,Croatia,Dallas (Arlington),2,2,4,2,4,2,False,False,,,AT&T Stadium,USA,180,retractable,32.7473,-97.0945,80000,False,6,6,2,4,2,True,Sheltered (roof or canopy),False,Afternoon (14-17h)
68,Group stage,Matchday 7,Group L,2026-06-17,19.0,-4,Ghana,Panama,Toronto,0,0,1,0,1,0,False,False,,,BMO Field,Canada,80,open,43.6332,-79.4185,45000,False,1,1,1,0,1,False,Fully open bowl,False,Evening (17-20h)
69,Group stage,Matchday 13,Group L,2026-06-23,16.0,-4,England,Ghana,Boston (Foxborough),0,0,0,0,0,0,False,False,,,Gillette Stadium,USA,30,open,42.0909,-71.2643,65878,False,0,0,0,0,0,False,Fully open bowl,False,Afternoon (14-17h)
70,Group stage,Matchday 13,Group L,2026-06-23,19.0,-4,Panama,Croatia,Toronto,0,0,0,1,0,1,False,False,,,BMO Field,Canada,80,open,43.6332,-79.4185,45000,False,1,1,1,0,1,False,Fully open bowl,False,Evening (17-20h)
71,Group stage,Matchday 17,Group L,2026-06-27,17.0,-4,Panama,England,New York/New Jersey (East Rutherford),0,0,0,2,0,2,False,False,,,MetLife Stadium,USA,5,open,40.8135,-74.0745,82500,False,2,2,2,0,2,False,Fully open bowl,False,Afternoon (14-17h)
72,Group stage,Matchday 17,Group L,2026-06-27,17.0,-4,Croatia,Ghana,Philadelphia,1,0,2,1,2,1,False,False,,,Lincoln Financial Field,USA,10,open,39.9008,-75.1675,69796,False,3,3,1,1,2,False,Fully open bowl,False,Afternoon (14-17h)
73,Round of 32,Round of 32,,2026-06-28,12.0,-7,South Africa,Canada,Los Angeles (Inglewood),0,0,0,1,0,1,False,False,,,SoFi Stadium,USA,30,canopy,33.9535,-118.3392,70240,True,1,1,1,0,1,True,Sheltered (roof or canopy),False,Midday (<14h)
74,Round of 32,Round of 32,,2026-06-29,16.5,-4,Germany,Paraguay,Boston (Foxborough),0,1,1,1,1,1,True,True,3.0,4.0,Gillette Stadium,USA,30,open,42.0909,-71.2643,65878,True,2,2,0,1,1,False,Fully open bowl,False,Afternoon (14-17h)
75,Round of 32,Round of 32,,2026-06-29,19.0,-6,Netherlands,Morocco,Monterrey (Guadalupe),0,0,1,1,1,1,True,True,2.0,3.0,Estadio BBVA,Mexico,540,open,25.669,-100.244,53500,True,2,2,0,0,2,False,Fully open bowl,True,Evening (17-20h)
76,Round of 32,Round of 32,,2026-06-29,12.0,-5,Brazil,Japan,Houston,0,1,2,1,2,1,False,False,,,NRG Stadium,USA,15,retractable,29.6847,-95.4107,72220,True,3,3,1,1,2,True,Sheltered (roof or canopy),False,Midday (<14h)
77,Round of 32,Round of 32,,2026-06-30,17.0,-4,France,Sweden,New York/New Jersey (East Rutherford),1,0,3,0,3,0,False,False,,,MetLife Stadium,USA,5,open,40.8135,-74.0745,82500,True,3,3,3,1,2,False,Fully open bowl,False,Afternoon (14-17h)
78,Round of 32,Round of 32,,2026-06-30,12.0,-5,Ivory Coast,Norway,Dallas (Arlington),0,1,1,2,1,2,False,False,,,AT&T Stadium,USA,180,retractable,32.7473,-97.0945,80000,True,3,3,1,1,2,True,Sheltered (roof or canopy),False,Midday (<14h)
79,Round of 32,Round of 32,,2026-06-30,19.0,-6,Mexico,Ecuador,Mexico City,1,0,2,0,2,0,False,False,,,Estadio Azteca,Mexico,2240,open,19.3029,-99.1505,87523,True,2,2,2,1,1,False,Fully open bowl,True,Evening (17-20h)
80,Round of 32,Round of 32,,2026-07-01,12.0,-4,England,DR Congo,Atlanta,0,1,2,1,2,1,False,False,,,Mercedes-Benz Stadium,USA,320,retractable,33.7554,-84.4008,71000,True,3,3,1,1,2,True,Sheltered (roof or canopy),False,Midday (<14h)
81,Round of 32,Round of 32,,2026-07-01,17.0,-7,United States,Bosnia and Herzegovina,San Francisco Bay Area (Santa Clara),1,0,2,0,2,0,False,False,,,Levi's Stadium,USA,9,open,37.4033,-121.9694,68500,True,2,2,2,1,1,False,Fully open bowl,False,Afternoon (14-17h)
82,Round of 32,Round of 32,,2026-07-01,13.0,-7,Belgium,Senegal,Seattle,0,1,2,2,3,2,True,False,,,Lumen Field,USA,10,canopy,47.5952,-122.3316,68740,True,5,4,1,1,3,True,Sheltered (roof or canopy),False,Midday (<14h)
83,Round of 32,Round of 32,,2026-07-02,19.0,-4,Portugal,Croatia,Toronto,0,0,2,1,2,1,False,False,,,BMO Field,Canada,80,open,43.6332,-79.4185,45000,True,3,3,1,0,3,False,Fully open bowl,False,Evening (17-20h)
84,Round of 32,Round of 32,,2026-07-02,12.0,-7,Spain,Austria,Los Angeles (Inglewood),1,0,3,0,3,0,False,False,,,SoFi Stadium,USA,30,canopy,33.9535,-118.3392,70240,True,3,3,3,1,2,True,Sheltered (roof or canopy),False,Midday (<14h)
85,Round of 32,Round of 32,,2026-07-02,20.0,-7,Switzerland,Algeria,Vancouver,1,0,2,0,2,0,False,False,,,BC Place,Canada,5,retractable,49.2767,-123.112,54500,True,2,2,2,1,1,True,Sheltered (roof or canopy),False,Evening (17-20h)
86,Round of 32,Round of 32,,2026-07-03,18.0,-4,Argentina,Cape Verde,Miami (Miami Gardens),1,0,1,1,3,2,True,False,,,Hard Rock Stadium,USA,2,canopy,25.958,-80.2389,65326,True,5,2,1,1,1,True,Sheltered (roof or canopy),False,Evening (17-20h)
87,Round of 32,Round of 32,,2026-07-03,20.5,-5,Colombia,Ghana,Kansas City,1,0,1,0,1,0,False,False,,,Arrowhead Stadium,USA,270,open,39.0489,-94.4839,76416,True,1,1,1,1,0,False,Fully open bowl,False,Night (20h+)
88,Round of 32,Round of 32,,2026-07-03,13.0,-5,Australia,Egypt,Dallas (Arlington),0,1,1,1,1,1,True,True,2.0,4.0,AT&T Stadium,USA,180,retractable,32.7473,-97.0945,80000,True,2,2,0,1,1,True,Sheltered (roof or canopy),False,Midday (<14h)
89,Round of 16,Round of 16,,2026-07-04,17.0,-4,Paraguay,France,Philadelphia,0,0,0,1,0,1,False,False,,,Lincoln Financial Field,USA,10,open,39.9008,-75.1675,69796,True,1,1,1,0,1,False,Fully open bowl,False,Afternoon (14-17h)
90,Round of 16,Round of 16,,2026-07-04,12.0,-5,Canada,Morocco,Houston,0,0,0,3,0,3,False,False,,,NRG Stadium,USA,15,retractable,29.6847,-95.4107,72220,True,3,3,3,0,3,True,Sheltered (roof or canopy),False,Midday (<14h)
91,Round of 16,Round of 16,,2026-07-05,16.0,-4,Brazil,Norway,New York/New Jersey (East Rutherford),0,0,1,2,1,2,False,False,,,MetLife Stadium,USA,5,open,40.8135,-74.0745,82500,True,3,3,1,0,3,False,Fully open bowl,False,Afternoon (14-17h)
92,Round of 16,Round of 16,,2026-07-05,18.0,-6,Mexico,England,Mexico City,1,2,2,3,2,3,False,False,,,Estadio Azteca,Mexico,2240,open,19.3029,-99.1505,87523,True,5,5,1,3,2,False,Fully open bowl,True,Evening (17-20h)
93,Round of 16,Round of 16,,2026-07-06,14.0,-5,Portugal,Spain,Dallas (Arlington),0,0,0,1,0,1,False,False,,,AT&T Stadium,USA,180,retractable,32.7473,-97.0945,80000,True,1,1,1,0,1,True,Sheltered (roof or canopy),False,Midday (<14h)
94,Round of 16,Round of 16,,2026-07-06,17.0,-7,United States,Belgium,Seattle,1,2,1,4,1,4,False,False,,,Lumen Field,USA,10,canopy,47.5952,-122.3316,68740,True,5,5,3,3,2,True,Sheltered (roof or canopy),False,Afternoon (14-17h)
95,Round of 16,Round of 16,,2026-07-07,12.0,-4,Argentina,Egypt,Atlanta,0,1,3,2,3,2,False,False,,,Mercedes-Benz Stadium,USA,320,retractable,33.7554,-84.4008,71000,True,5,5,1,1,4,True,Sheltered (roof or canopy),False,Midday (<14h)
96,Round of 16,Round of 16,,2026-07-07,13.0,-7,Switzerland,Colombia,Vancouver,0,0,0,0,0,0,True,True,4.0,3.0,BC Place,Canada,5,retractable,49.2767,-123.112,54500,True,0,0,0,0,0,True,Sheltered (roof or canopy),False,Midday (<14h)
97,Quarter-final,Quarter-final,,2026-07-09,16.0,-4,France,Morocco,Boston (Foxborough),0,0,2,0,2,0,False,False,,,Gillette Stadium,USA,30,open,42.0909,-71.2643,65878,True,2,2,2,0,2,False,Fully open bowl,False,Afternoon (14-17h)
98,Quarter-final,Quarter-final,,2026-07-10,12.0,-7,Spain,Belgium,Los Angeles (Inglewood),1,1,2,1,2,1,False,False,,,SoFi Stadium,USA,30,canopy,33.9535,-118.3392,70240,True,3,3,1,2,1,True,Sheltered (roof or canopy),False,Midday (<14h)
99,Quarter-final,Quarter-final,,2026-07-11,17.0,-4,Norway,England,Miami (Miami Gardens),1,1,1,1,1,2,True,False,,,Hard Rock Stadium,USA,2,canopy,25.958,-80.2389,65326,True,3,2,1,2,0,True,Sheltered (roof or canopy),False,Afternoon (14-17h)
100,Quarter-final,Quarter-final,,2026-07-11,20.0,-5,Argentina,Switzerland,Kansas City,1,0,1,1,3,1,True,False,,,Arrowhead Stadium,USA,270,open,39.0489,-94.4839,76416,True,4,2,2,1,1,False,Fully open bowl,False,Evening (17-20h)
101,Semi-final,Semi-final,,2026-07-14,14.0,-5,France,Spain,Dallas (Arlington),0,1,0,2,0,2,False,False,,,AT&T Stadium,USA,180,retractable,32.7473,-97.0945,80000,True,2,2,2,1,1,True,Sheltered (roof or canopy),False,Midday (<14h)
102,Semi-final,Semi-final,,2026-07-15,15.0,-4,England,Argentina,Atlanta,0,0,1,2,1,2,False,False,,,Mercedes-Benz Stadium,USA,320,retractable,33.7554,-84.4008,71000,True,3,3,1,0,3,True,Sheltered (roof or canopy),False,Afternoon (14-17h)
103,Match for third place,Match for third place,,2026-07-18,17.0,-4,France,England,Miami (Miami Gardens),0,4,4,6,4,6,False,False,,,Hard Rock Stadium,USA,2,canopy,25.958,-80.2389,65326,True,10,10,2,4,6,True,Sheltered (roof or canopy),False,Afternoon (14-17h)
104,Final,Final,,2026-07-19,15.0,-4,Spain,Argentina,New York/New Jersey (East Rutherford),0,0,0,0,1,0,True,False,,,MetLife Stadium,USA,5,open,40.8135,-74.0745,82500,True,1,0,1,0,0,False,Fully open bowl,False,Afternoon (14-17h)
